customer_id,customer_name,email,phone,city,province,segment,signup_date
1,Thabo Mthembu,customer1@example.co.za,0834744854,Johannesburg,Gauteng,Small Business,2022-07-29
2,Sipho Daniels,customer2@example.co.za,0821499914,Mbombela,Mpumalanga,Retail,2023-03-24
3,Thabo Pillay,customer3@example.co.za,0798038374,Durban,KwaZulu-Natal,Small Business,2024-07-08
4,Nomsa Mokoena,customer4@example.co.za,0713678638,Kimberley,Northern Cape,Wholesale,2023-11-28
5,Anele Pillay,customer5@example.co.za,0716647119,Gqeberha,Eastern Cape,Retail,2022-07-09
6,Naledi Mabena,customer6@example.co.za,0716770619,Polokwane,Limpopo,Corporate,2022-03-30
7,Naledi Adams,customer7@example.co.za,0825918715,East London,Eastern Cape,Corporate,2025-03-28
8,Sipho Ndlovu,customer8@example.co.za,0794823498,Durban,KwaZulu-Natal,Corporate,2022-06-13
9,Naledi Adams,customer9@example.co.za,0848606962,Durban,KwaZulu-Natal,Corporate,2022-11-30
10,Bongani Pillay,customer10@example.co.za,0795479144,Bloemfontein,Free State,Retail,2022-12-17
11,Sibusiso van Wyk,customer11@example.co.za,0767366205,Mbombela,Mpumalanga,Corporate,2025-02-14
12,Ayanda Ndlovu,customer12@example.co.za,0831538552,Durban,KwaZulu-Natal,Corporate,2024-04-01
13,Sipho Pillay,customer13@example.co.za,0786279418,Gqeberha,Eastern Cape,Small Business,2024-10-19
14,Liam Dlamini,customer14@example.co.za,0843342608,Polokwane,Limpopo,Small Business,2025-02-23
15,Nomsa Daniels,customer15@example.co.za,0787700828,Mbombela,Mpumalanga,Corporate,2023-03-26
16,Amahle Naidoo,customer16@example.co.za,0711790481,Pretoria,Gauteng,Retail,2022-11-10
17,Jason Naidoo,customer17@example.co.za,0767402509,Pretoria,Gauteng,Wholesale,2024-12-19
18,Thabo Jacobs,customer18@example.co.za,0795476583,Gqeberha,Eastern Cape,Corporate,2022-08-17
19,Jason van Wyk,customer19@example.co.za,0761054447,Gqeberha,Eastern Cape,Corporate,2024-10-22
20,Naledi Smith, customer20@example.co.za,0719517169,Pretoria,GAUTENG,Small Business,2022-11-10
21,Mpho Mokoena,customer21@example.co.za,0786438436,Bloemfontein,Free State,Wholesale,2022-02-09
22,Bongani Smith,customer22@example.co.za,0831971823,Johannesburg,Gauteng,Small Business,2025-03-07
23,Sipho Mahlangu,customer23@example.co.za,0712161193,Johannesburg,Gauteng,Small Business,2022-09-20
24,Mpho Mthembu,customer24@example.co.za,0788099076,East London,Eastern Cape,Small Business,2025-01-09
25,Kagiso Adams,customer25@example.co.za,0797264956,Durban,KwaZulu-Natal,Wholesale,2024-11-25
26,Naledi Botha,customer26@example.co.za,0832074176,East London,Eastern Cape,Corporate,2022-02-13
27,Sibusiso Botha,customer27@example.co.za,0822191066,Kimberley,Northern Cape,Retail,2023-04-14
28,Lerato Maseko,customer28@example.co.za,0829626108,Johannesburg,Gauteng,Small Business,2023-07-25
29,Zanele Dlamini,customer29@example.co.za,0798930103,East London,Eastern Cape,Small Business,2024-08-26
30,Zanele Jacobs,customer30@example.co.za,0828231838,Polokwane,Limpopo,Corporate,2024-05-17
31,Liam Ndlovu,customer31@example.co.za,0792651177,Polokwane,Limpopo,Retail,2024-04-04
32,Naledi Botha,customer32@example.co.za,0834191175,Bloemfontein,Free State,Wholesale,2022-10-15
33,Mpho Mthembu,customer33@example.co.za,0765191056,Polokwane,Limpopo,Retail,2024-06-26
34,Naledi Ndlovu,customer34@example.co.za,0791247595,Mbombela,Mpumalanga,Retail,2023-04-30
35,Jason Mahlangu,customer35@example.co.za,0764586084,Pretoria,Gauteng,Wholesale,2022-05-01
36,Chantelle Mokoena,customer36@example.co.za,0765449368,Pretoria,Gauteng,Wholesale,2023-08-08
37,Amahle Dlamini,customer37@example.co.za,0835977931,Polokwane,Limpopo,Small Business,2022-04-30
38,Lerato Maseko,customer38@example.co.za,0821841248,Kimberley,Northern Cape,Wholesale,2024-10-26
39,Mpho Ndlovu,customer39@example.co.za,0782344047,Mbombela,Mpumalanga,Small Business,2022-05-21
40,Sipho Botha,customer40@example.co.za,0763011363,Kimberley,Northern Cape,Small Business,2025-03-31
